GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patientinfo,com.abernathyclinic.patientinfo.configuration,SpringFoxConfig.new BeanPostProcessor() {...},6,51,1,5,2,13,1,7,0,5
patientinfo,com.abernathyclinic.patientinfo.configuration,SpringFoxConfig,0,18,0,0,0,7,0,3,0,3
patientinfo,com.abernathyclinic.patientinfo,PatientinfoApplication,5,3,0,0,2,1,1,1,1,1
patientinfo,com.abernathyclinic.patientinfo.util,Gender,0,24,0,0,0,2,0,1,0,1
patientinfo,com.abernathyclinic.patientinfo.exception,PatientNotFoundException,0,4,0,0,0,2,0,1,0,1
patientinfo,com.abernathyclinic.patientinfo.model,Patient,0,73,0,0,0,31,0,16,0,16
patientinfo,com.abernathyclinic.patientinfo.dto,PatientMapper,0,21,0,0,0,7,0,3,0,3
patientinfo,com.abernathyclinic.patientinfo.dto,PatientDTO,0,73,0,0,0,31,0,16,0,16
patientinfo,com.abernathyclinic.patientinfo.service,PatientServiceImpl,0,258,0,2,0,38,0,14,0,13
patientinfo,com.abernathyclinic.patientinfo.controller,PatientController,0,37,0,0,0,10,0,7,0,7
patientinfo,com.abernathyclinic.patientinfo.controller,RestResponseEntityExceptionHandler,0,36,0,0,0,10,0,4,0,4
