GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
riskreport,com.abernathyclinic.riskreport.model,Note,39,18,0,0,17,7,11,2,11,2
riskreport,com.abernathyclinic.riskreport.model,Patient,34,39,0,0,16,14,9,6,9,6
riskreport,com.abernathyclinic.riskreport.service,ReportServiceImpl,8,211,7,35,4,48,6,24,0,6
riskreport,com.abernathyclinic.riskreport.dto,AssessmentDTO,19,27,0,0,10,10,5,5,5,5
riskreport,com.abernathyclinic.riskreport.controller,ReportController,0,16,0,0,0,5,0,3,0,3
riskreport,com.abernathyclinic.riskreport.controller,FeignExceptionHandler,12,21,0,0,3,6,0,2,0,2
riskreport,com.abernathyclinic.riskreport.configuration,SpringFoxConfig,0,18,0,0,0,7,0,3,0,3
riskreport,com.abernathyclinic.riskreport.configuration,SpringFoxConfig.new BeanPostProcessor() {...},6,51,1,5,2,13,1,7,0,5
riskreport,com.abernathyclinic.riskreport,RiskreportApplication,5,3,0,0,2,1,1,1,1,1
riskreport,com.abernathyclinic.riskreport.util,Trigger,0,147,0,0,0,16,0,2,0,2
riskreport,com.abernathyclinic.riskreport.util,Risk,0,44,0,0,0,2,0,1,0,1
riskreport,com.abernathyclinic.riskreport.util,Gender,0,24,0,0,0,2,0,1,0,1
riskreport,com.abernathyclinic.riskreport.util,AgeCalculator,3,23,0,2,1,6,1,4,1,3
riskreport,com.abernathyclinic.riskreport.util,Constants,3,0,0,0,1,0,1,0,1,0
